adult, ant-HPC, 35.05418719211823
adult, ant-HPC_sd, 35.65270935960591
adult, LOC, 37.669950738916256
adult, LOC_sd, 38.600985221674875
adult, PHC, 35.85221674876847
adult, PHC_sd, 36.65024630541872
adult, RSC, 35.76354679802955
adult, RSC_sd, 36.495073891625616
child, PHC, 35.378313253012045
child, PHC_sd, 35.855421686746986
child, LOC, 38.17411764705882
child, LOC_sd, 38.72470588235294
child, RSC, 36.05811138014528
child, RSC_sd, 36.53753026634382
child, ant-HPC_T1, 32.96341463414634
child, ant-HPC_sd_T1, 33.44634146341463
child, ant-HPC_T2, 33.81951219512195
child, ant-HPC_sd_T2, 34.302439024390246